jahr,hauptgruppe,untergruppe,thg,thg_agg,emission
2002,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,339958.1546313465
2003,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,359940.7760086433
2004,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,371740.660647261
2005,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,383550.56615666696
2006,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,344135.96764044923
2007,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,318227.12168076064
2008,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,337325.33242624
2009,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,329845.5905451754
2010,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,363749.83385916025
2011,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,314723.39402666176
2012,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,355500.64287569583
2013,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,378092.7846588819
2014,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,291027.5733956638
2015,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,331620.8884912959
2016,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,359322.5471725998
2017,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,343442.82090294495
2018,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,308811.1214424335
2019,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,313060.77313326136
2020,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,281073.40705103433
2021,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,324749.9461969423
2022,Gebäude,Heizkessel Dienstleistungen Gas,CO2,CO2eq,262738.63499284314
1990,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,311517.33196139237
1991,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,355891.9514880326
1992,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,371905.0254952021
1993,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,375618.82622519817
1994,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,355730.113495959
1995,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,407644.02431541006
1996,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,457184.75194642175
1997,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,415202.4334623954
1998,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,434027.0735662802
1999,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,458898.4076694564
2000,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,437522.37447661656
2001,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,457883.8658217119
2002,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,454589.7488636998
2003,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,485629.3971737539
2004,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,502190.9171971062
2005,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,516231.43948240014
2006,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,495965.042334997
2007,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,475004.5012146689
2008,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,514187.0346173066
2009,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,515161.3694513218
2010,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,585034.7375222704
2011,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,497133.81525473425
2012,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,570644.7395490757
2013,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,617278.2226915787
2014,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,514041.04920090776
2015,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,558290.2558325934
2016,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,639782.8949413032
2017,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,614162.0975062995
2018,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,564376.4974843208
2019,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,572272.6193088475
2020,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,525024.2184816945
2021,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,604632.1175946645
2022,Gebäude,Heizkessel Haushalte Gas,CO2,CO2eq,495314.7877328396
1990,Abwasser und Abfall,KVA,CO2,CO2eq,282107.02769361663
1991,Abwasser und Abfall,KVA,CO2,CO2eq,267893.18407029624
1992,Abwasser und Abfall,KVA,CO2,CO2eq,266656.7184724899
1993,Abwasser und Abfall,KVA,CO2,CO2eq,270454.7589910347
1994,Abwasser und Abfall,KVA,CO2,CO2eq,267150.54910086724
1995,Abwasser und Abfall,KVA,CO2,CO2eq,270607.078138059
1996,Abwasser und Abfall,KVA,CO2,CO2eq,274450.20271954633
1997,Abwasser und Abfall,KVA,CO2,CO2eq,287032.2074762185
1998,Abwasser und Abfall,KVA,CO2,CO2eq,304733.0443154048
1999,Abwasser und Abfall,KVA,CO2,CO2eq,321278.55315443757
2000,Abwasser und Abfall,KVA,CO2,CO2eq,348330.59497612395
2001,Abwasser und Abfall,KVA,CO2,CO2eq,366389.1827516693
2002,Abwasser und Abfall,KVA,CO2,CO2eq,374015.0154731685
2003,Abwasser und Abfall,KVA,CO2,CO2eq,368663.5133384493
2004,Abwasser und Abfall,KVA,CO2,CO2eq,381733.63097693305
2005,Abwasser und Abfall,KVA,CO2,CO2eq,396364.828985011
2006,Abwasser und Abfall,KVA,CO2,CO2eq,432843.28210245736
2007,Abwasser und Abfall,KVA,CO2,CO2eq,417039.8862387946
2008,Abwasser und Abfall,KVA,CO2,CO2eq,412651.3003797988
2009,Abwasser und Abfall,KVA,CO2,CO2eq,403386.84021992766
2010,Abwasser und Abfall,KVA,CO2,CO2eq,424908.836127424
2011,Abwasser und Abfall,KVA,CO2,CO2eq,444228.28984153416
2012,Abwasser und Abfall,KVA,CO2,CO2eq,451312.58006347984
2013,Abwasser und Abfall,KVA,CO2,CO2eq,459705.1439124083
2014,Abwasser und Abfall,KVA,CO2,CO2eq,460238.71866176534
2015,Abwasser und Abfall,KVA,CO2,CO2eq,465052.1167797361
2016,Abwasser und Abfall,KVA,CO2,CO2eq,470153.45420759474
2017,Abwasser und Abfall,KVA,CO2,CO2eq,473111.5987372716
2018,Abwasser und Abfall,KVA,CO2,CO2eq,470952.87463684287
2019,Abwasser und Abfall,KVA,CO2,CO2eq,471607.3339640744
2020,Abwasser und Abfall,KVA,CO2,CO2eq,473222.72298070614
2021,Abwasser und Abfall,KVA,CO2,CO2eq,420356.28108588577
2022,Abwasser und Abfall,KVA,CO2,CO2eq,374645.1815973408
1990,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,22816.30119513453
1991,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,23094.223619224464
1992,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,23613.004333927653
1993,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,23612.74529299264
1994,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,23961.77371903711
1995,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,23926.103882549392
1996,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,23258.40345007793
1997,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,22740.456497535648
1998,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,22538.528867727855
1999,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,21942.54250736995
2000,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,22308.107036455076
2001,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,22172.524219631792
2002,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,20236.424941380297
2003,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,20467.31006398719
2004,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,22976.01739646322
2005,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,23058.230872383625
2006,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,22010.169387430033
2007,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,21635.922333157683
2008,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,19740.017744859528
2009,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,17655.925799889017
2010,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,19997.905553688954
2011,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,20576.625543894257
2012,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,20911.396649306334
2013,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,18447.492246118123
2014,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,18573.68376512278
2015,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,17557.481040365834
2016,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,17631.892169935487
2017,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,17488.97019003777
2018,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,18161.72391966872
2019,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,17210.777312064663
2020,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,15945.67403586509
2021,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,16401.593417903263
2022,Industrie,Industrielle Prozesse nichtenergetisch,CO2,CO2eq,15515.199636066984
1990,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,440.114885708976
1991,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,577.2935513845011
1992,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,512.5147370377254
1993,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,626.8302917673294
1994,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,630.6408102583163
1995,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,738.007884519606
1996,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,685.1044956893278
1997,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,634.718220151427
1998,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,676.8111961874505
1999,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,428.785488716151
2000,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,598.9321453259117
2001,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,554.6225585887117
2002,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,570.8926050532923
2003,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,591.3283973189759
2004,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,664.1119322397053
2005,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,673.779722026981
2006,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,606.9584088754413
2007,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,656.3255125193884
2008,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,601.346207284877
2009,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,405.2274858739114
2010,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,683.7341103138522
2011,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,717.5586895135134
2012,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,730.1383642524476
2013,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,528.824404172251
2014,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,546.4819274853801
2015,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,529.9866005830903
2016,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,649.2310938864629
2017,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,647.2587412331645
2018,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,724.3940047023883
2019,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,681.2109086351674
2020,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,622.3762518499682
2021,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,597.7172666666667
2022,Industrie,Industrielle Prozesse nichtenergetisch,CH4,CO2eq,609.123987301588
1990,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,16492.3527247741
1991,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,15859.983646007462
1992,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,15200.422734955291
1993,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,14493.454539599004
1994,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,13767.68802086059
1995,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,13015.807444447497
1996,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,12246.958770079758
1997,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,11443.921031457428
1998,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,10641.958551517071
1999,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,9856.221383294478
2000,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,9072.679960350544
2001,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,8280.080222122902
2002,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,8169.620259157084
2003,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,8183.960490505733
2004,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,7957.163626566963
2005,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,8037.96638483149
2006,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,7293.947332514708
2007,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,6952.504653952212
2008,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,6972.308124144846
2009,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,6723.456364701111
2010,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,6742.762189801383
2011,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,6743.2932186769
2012,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,6524.975947867845
2013,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,5616.485176392603
2014,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,5705.805777566356
2015,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,5452.82272339895
2016,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,5070.757157547957
2017,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,4921.682105272886
2018,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,4943.7974578998865
2019,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,4979.752933012803
2020,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,5016.607929937732
2021,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,5055.631500928347
2022,Industrie,Industrielle Prozesse nichtenergetisch,N2O,CO2eq,5114.7291597337135
1990,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,3.4223866656622737
1991,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,208.3638206623896
1992,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,2210.759834154216
1993,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,4670.93804186145
1994,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,11486.674006680689
1995,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,34548.565813113615
1996,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,41912.7277249968
1997,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,50608.36777855733
1998,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,63668.06402238753
1999,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,74331.52088820128
2000,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,88254.17326503334
2001,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,101200.36988906655
2002,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,112844.41466454069
2003,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,122885.87517850225
2004,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,134533.94642415474
2005,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,137822.02877589042
2006,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,150709.37068480338
2007,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,161345.52438097264
2008,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,162377.4406264282
2009,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,161661.8817503877
2010,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,166205.15992445932
2011,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,174881.5322140487
2012,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,182654.85686247403
2013,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,179744.179683058
2014,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,183685.9394991748
2015,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,187003.74585037687
2016,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,180874.92910982308
2017,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,179299.94603529834
2018,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,182678.02229002473
2019,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,173037.60836344105
2020,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,170515.40768549847
2021,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,159193.29174746125
2022,Industrie,Industrielle Prozesse nichtenergetisch,HFC,CO2eq,163218.8576941698
1990,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,15915.703597482065
1991,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,13458.147937597138
1992,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,11018.342138190184
1993,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4755.477368842274
1994,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,2880.199617115156
1995,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,2427.4114004880184
1996,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,2810.2411479598763
1997,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,2865.149078037936
1998,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,3196.1976693179877
1999,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4245.138491087251
2000,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,7941.216330411676
2001,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4778.905749611332
2002,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4609.6881797056385
2003,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,9105.771377501083
2004,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,9256.7111345976
2005,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,6306.567310051988
2006,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,7898.240311560629
2007,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,6618.6383077988485
2008,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,5623.21960511264
2009,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4497.963674912176
2010,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4763.6949686230555
2011,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4497.850794225109
2012,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4875.062446950453
2013,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,3436.4203823947846
2014,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,2729.308669560912
2015,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,3094.1245974708813
2016,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,2373.9966336464126
2017,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,3760.6617591420218
2018,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4208.002763948154
2019,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,3689.879147742257
2020,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,4439.330554461382
2021,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,3637.3257366153425
2022,Industrie,Industrielle Prozesse nichtenergetisch,PFC,CO2eq,3293.3496071695995
1990,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,21452.25637486054
1991,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,21796.73711316257
1992,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,22139.056456824834
1993,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,18873.185360660013
1994,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,16736.173462901916
1995,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,14598.495897869045
1996,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,14001.713537131342
1997,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,19233.420254823275
1998,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,23395.63408019435
1999,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,21281.21354879242
2000,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,22913.20056893617
2001,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,22553.836165069217
2002,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,23752.68971137812
2003,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,24233.644906970145
2004,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,26859.814685031808
2005,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,29074.292665041823
2006,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,27861.35023775648
2007,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,25145.893443262063
2008,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,32827.70675735311
2009,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,26339.07313885544
2010,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,22257.36945678886
2011,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,23569.80631922865
2012,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,29946.526879322828
2013,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,35888.80480549885
2014,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,35782.14036087547
2015,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,36938.5462030784
2016,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,33040.445554254475
2017,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,30959.097558087484
2018,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,23754.842920514293
2019,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,22957.232628024543
2020,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,20139.29049497056
2021,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,16592.45960990271
2022,Industrie,Industrielle Prozesse nichtenergetisch,SF6,CO2eq,7188.470117908086
1990,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,606399.6809851977
1991,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,692918.4361705481
1992,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,677248.3489609084
1993,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,612446.7552986551
1994,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,578692.3136275144
1995,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,617063.8033802082
1996,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,626792.2046141686
1997,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,611848.30975551
1998,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,666305.7258250464
1999,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,631706.86076385
2000,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,578201.2266788011
2001,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,612105.952622136
2002,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,565992.768859183
2003,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,577904.746552125
2004,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,576952.4233497055
2005,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,572682.6451275514
2006,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,569642.3091480791
2007,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,522456.35775018873
2008,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,525433.3923661093
2009,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,508907.21498353727
2010,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,527478.360634206
2011,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,442344.0587772009
2012,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,451747.5615040207
2013,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,462105.47241234855
2014,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,385563.2510664856
2015,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,393530.0674101609
2016,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,395655.6698144939
2017,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,381284.25289855816
2018,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,366058.7766891837
2019,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,371504.9859907732
2020,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,343542.1680572211
2021,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,361379.1266042069
2022,Industrie,Industrielle Prozesse energetisch,CO2,CO2eq,308549.270788285
1990,Industrie,Industrielle Prozesse energetisch,CH4,CO2eq,63576.497179634855
1991,Industrie,Industrielle Prozesse energetisch,CH4,CO2eq,67899.83642203153
1992,Industrie,Industrielle Prozesse energetisch,CH4,CO2eq,70988.34945743134
1993,Industrie,Industrielle Prozesse energetisch,CH4,CO2eq,72904.6637190517
